,Urun,adres,fiyat,işlemci,ram,ekran,depolam
0,FUJITSU VFY:E5510MC7BMDE-DOS Taşınabilir Bilgis...,/Katalog/Urun/Detay/1090448_948594,"11.452,03",10510U,16 GB,"15,6",SSD
1,DELL L7400-2IN1-İ7-16GB-512SSD-T-W Taşınabilir ...,/Katalog/Urun/Detay/552467_801385,"16.431,18",8665U,16 GB,14,SSD
2,LENOVO 20Q8DZAM00 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/1093435_916305,"8.862,87",8565U,8 GB,"15,6",SSD
3,LENOVO 20N3VROORX Taşınabilir Bilgisayar,/Katalog/Urun/Detay/882740_610273,"14.439,52",8565U,16 GB,14,SSD
4,ASUS P1440FB-FQ0135W Taşınabilir Bilgisayar,/Katalog/Urun/Detay/896221_907797,"8.265,38",8265u,8 GB,14,SSD
5,LENOVO 81YE000FE2 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/895632_905746,"7.269,56",8265U,8 GB,"15,6",SSD
6,LENOVO 20RD000GB7 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/882740_906458,"9.988,17",10510U,8 GB,"15,6",SSD
7,FUJITSU VFY:E5510M15A0DE Taşınabilir Bilgisayar,/Katalog/Urun/Detay/1090448_948593,"11.153,29",10210U,8 GB,"15,6",SSD
8,LENOVO 20S7A1E106 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/882114_948637,"13.941,61",10510U,16 GB,"15,6",SSD
9,ASUS P2451FA-BV0214R Taşınabilir Bilgisayar,/Katalog/Urun/Detay/808128_917759,"7.867,05",10210U,8 GB,14,SSD
10,LENOVO 20KGMX00KN Taşınabilir Bilgisayar,/Katalog/Urun/Detay/607921_165654,"18.213,71",8650U,16 GB,14,SSD
11,LENOVO 81YE000ZG02 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/895632_905753,"10.456,20",10510U,8 GB,"15,6",SSD
